,Diện tích,Số tầng,Đường vào,Loại đường vào,loai_duong_null_flag,duong_vao_null_flag,hem_xe_hoi,gan_cho_sieu_thi,gan_truong_hoc,gan_benh_vien,gan_cong_vien_ho_nuoc,Tổng số phòng,Pháp lý_Sổ đỏ,Pháp lý_không có,Nội thất_Cơ bản,Nội thất_Trống / Nhà thô,Nội thất_Đầy đủ,Quận_encoded
0,58.0,2,3.0,0.0,1,0,0,1,0,0,0,6,0.0,0.0,0.0,0.0,1.0,11.524548031698988
1,60.0,4,8.0,3.0,0,0,1,1,0,0,0,9,0.0,0.0,0.0,0.0,1.0,8.300633551777777
2,62.0,3,,0.0,1,1,0,0,0,0,1,9,1.0,0.0,0.0,1.0,0.0,12.664127058271283
3,84.0,5,,0.0,1,1,0,0,1,1,1,12,0.0,0.0,0.0,1.0,0.0,17.640442397803668
4,69.0,2,5.0,0.0,1,0,1,0,1,0,0,8,0.0,0.0,0.0,1.0,0.0,13.674404235916532
5,78.0,5,,0.0,1,1,0,0,0,0,0,9,0.0,0.0,0.0,1.0,0.0,9.226974492834636
6,60.0,3,6.0,2.0,0,0,1,0,0,0,0,8,0.0,0.0,1.0,0.0,0.0,17.074597659317714
7,55.0,1,6.0,0.0,1,0,0,1,1,0,0,2,0.0,0.0,0.0,1.0,0.0,17.640442397803668
8,95.0,5,,2.0,0,1,1,1,0,0,0,11,0.0,0.0,0.0,1.0,0.0,12.664127058271283
9,60.0,4,8.0,3.0,0,0,1,1,1,1,0,10,0.0,0.0,0.0,0.0,1.0,15.25688957809374
10,41.0,2,3.0,0.0,1,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,1.0,11.524548031698988
11,113.0,2,6.0,3.0,0,0,1,1,0,0,0,6,0.0,0.0,0.0,0.0,1.0,9.618653544659924
12,53.0,3,,0.0,1,1,0,0,0,0,0,8,0.0,0.0,0.0,1.0,0.0,15.25688957809374
13,92.0,4,6.0,3.0,0,0,1,0,0,0,0,8,0.0,0.0,0.0,1.0,0.0,44.69026545333514
14,64.0,1,12.0,3.0,0,0,0,1,0,1,0,3,0.0,0.0,0.0,1.0,0.0,9.618653544659924
15,29.0,2,,0.0,1,1,1,0,0,0,0,4,0.0,0.0,0.0,1.0,0.0,9.226974492834636
16,94.0,2,6.0,0.0,1,0,0,0,0,0,0,7,0.0,0.0,1.0,0.0,0.0,17.640442397803668
17,50.0,3,,3.0,0,1,0,1,1,1,1,10,0.0,0.0,0.0,0.0,1.0,44.69026545333514
18,101.0,4,5.0,0.0,1,0,0,1,1,0,0,11,0.0,0.0,0.0,1.0,0.0,8.442832785570205
