,0
0,0
1,1
2,1
3,1
4,0
5,0
6,0
7,0
8,0
9,1
10,0
11,0
12,1
13,3
14,0
15,1
16,0
17,1
18,0
19,1
20,0
21,0
22,1
23,4
24,1
25,1
26,1
27,2
28,1
29,3
30,0
31,1
32,1
33,0
34,3
35,1
36,1
37,1
38,0
39,1
40,0
41,0
42,1
43,0
44,3
45,2
46,0
47,2
48,1
49,0
50,0
51,4
52,3
53,1
54,1
55,1
56,1
57,2
58,1
59,1
60,0
61,0
62,1
63,0
64,3
65,1
66,0
67,2
68,1
69,0
70,1
71,0
72,1
73,0
74,0
75,2
76,0
77,1
78,2
79,0
80,0
81,0
82,3
83,1
84,1
85,2
86,0
87,0
88,2
89,3
90,3
91,3
92,0
93,0
94,3
95,2
96,3
97,1
98,1
99,1
100,0
101,2
102,1
103,1
104,0
105,1
106,1
107,0
108,0
109,2
110,2
111,1
112,0
113,0
114,1
115,4
116,1
117,0
118,1
119,2
120,2
121,1
122,0
123,1
124,1
125,1
126,0
127,2
128,3
129,2
130,1
131,2
132,3
133,1
134,1
135,1
136,0
137,1
138,1
139,1
140,0
141,1
142,3
143,3
144,1
145,0
146,4
147,0
148,0
149,0
150,0
151,1
152,1
153,1
154,0
155,0
156,3
157,1
158,2
159,0
160,0
161,1
162,3
163,0
164,0
165,1
166,0
167,2
168,0
169,1
170,0
171,2
172,3
173,3
174,1
175,2
176,1
177,1
178,0
179,0
180,0
181,0
182,1
183,1
184,0
185,0
186,1
187,2
188,1
189,0
190,0
191,0
192,0
193,3
194,0
195,0
196,0
197,0
198,0
199,1
200,1
201,1
202,0
203,0
204,3
205,1
206,1
207,1
208,1
209,1
210,0
211,2
212,2
213,0
214,0
215,1
216,0
217,1
218,1
219,0
220,0
221,1
222,1
223,1
224,1
225,2
226,0
227,0
228,0
229,1
230,2
231,0
232,2
233,0
234,2
235,1
236,1
237,2
238,1
239,1
240,2
241,3
242,1
243,3
244,0
245,3
246,0
247,0
248,1
249,2
250,0
251,1
252,0
253,1
254,1
255,1
256,2
257,2
258,2
259,1
260,1
261,0
262,1
263,3
264,1
265,1
266,3
267,1
268,0
269,0
270,0
271,1
272,2
273,0
274,1
275,2
276,0
277,1
278,0
279,2
280,1
281,2
282,2
283,1
284,2
285,2
286,0
287,0
288,2
289,0
290,1
291,1
292,2
293,1
294,0
295,1
296,1
297,1
298,1
299,0
300,0
301,0
302,0
303,1
304,1
305,1
306,0
307,2
308,1
309,0
310,1
311,1
312,3
313,1
314,0
315,1
316,1
317,1
318,0
319,0
320,3
321,0
322,1
323,1
324,3
325,0
326,1
327,2
328,1
329,3
330,3
331,1
332,0
333,1
334,2
335,1
336,2
337,3
338,0
339,0
340,0
341,1
342,0
343,2
344,0
345,0
346,0
347,3
348,1
349,0
350,1
351,0
352,2
353,0
354,2
355,0
356,2
357,0
358,0
359,1
360,0
361,0
362,1
363,0
364,1
365,0
366,1
367,2
368,0
369,0
370,4
371,1
372,0
373,2
374,3
375,2
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,1
385,0
386,0
387,1
388,1
389,1
390,1
391,1
392,1
393,2
394,1
395,0
396,0
397,1
398,1
399,1
400,0
401,4
402,0
403,2
404,2
405,1
406,2
407,1
408,3
409,1
410,1
411,1
412,2
413,0
414,0
415,0
416,2
417,0
418,1
419,2
420,0
421,0
422,3
423,1
424,2
425,0
426,0
427,3
428,1
429,1
430,0
431,0
432,0
433,0
434,2
435,2
436,0
437,0
438,2
439,2
440,0
441,2
442,1
443,3
444,2
445,1
446,3
447,1
448,2
449,2
450,1
451,0
452,1
453,3
454,3
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,0
463,1
464,2
465,2
466,2
467,4
468,1
469,0
470,0
471,4
472,0
473,0
474,0
475,2
476,4
477,0
478,0
479,2
480,2
481,1
482,3
483,2
484,1
485,1
486,4
487,2
488,1
489,1
490,1
491,1
492,0
493,1
494,0
495,0
496,1
497,0
498,1
499,0
500,1
501,0
502,1
503,1
504,1
505,0
506,0
507,0
508,1
509,2
510,1
511,1
512,2
513,2
514,0
515,1
516,2
517,2
518,0
519,0
520,2
521,2
522,1
523,0
524,0
525,1
526,0
527,2
528,1
529,0
530,1
531,0
532,2
533,1
534,0
535,1
536,1
537,0
538,3
539,1
540,2
541,1
542,2
543,1
544,2
545,0
546,0
547,1
548,0
549,1
550,1
551,1
552,3
553,1
554,0
555,2
556,2
557,0
558,0
559,1
560,0
561,4
562,1
563,3
564,0
565,2
566,2
567,2
568,3
569,1
570,1
571,3
572,1
573,0
574,0
575,0
576,4
577,1
578,0
579,0
580,2
581,0
582,0
583,0
584,0
585,2
586,1
587,1
588,0
589,1
590,0
591,2
592,2
593,1
594,0
595,1
596,0
597,1
598,1
599,2
600,1
601,1
602,1
603,0
604,2
605,2
606,3
607,0
608,1
609,0
610,1
611,0
612,0
613,0
614,1
615,0
616,0
617,0
618,0
619,2
620,0
621,0
622,3
623,1
624,1
625,2
626,1
627,1
628,1
629,1
630,2
631,1
632,1
633,1
634,4
635,0
636,0
637,3
638,1
639,1
640,1
641,2
642,2
643,2
644,0
645,1
646,3
647,1
648,0
649,0
650,1
651,2
652,0
653,3
654,0
655,1
656,0
657,3
658,1
659,0
660,0
661,0
662,1
663,1
664,0
665,0
666,1
667,1
668,0
669,2
670,1
671,4
672,0
673,0
674,0
675,1
676,0
677,1
678,0
679,1
680,0
681,0
682,1
683,1
684,3
685,2
686,1
687,0
688,0
689,2
690,0
691,1
692,0
693,1
694,0
695,2
696,1
697,1
698,1
699,0
700,2
701,4
702,0
703,1
704,4
705,1
706,1
707,0
708,1
709,3
710,1
711,2
712,3
713,0
714,1
715,0
716,1
717,0
718,1
719,0
720,0
721,4
722,0
723,2
724,1
725,1
726,2
727,2
728,1
729,3
730,0
731,1
732,2
733,0
734,1
735,1
736,1
737,0
738,1
739,0
740,2
741,0
742,0
743,1
744,0
745,4
746,2
747,2
748,0
749,0
750,3
751,0
752,2
753,1
754,0
755,0
756,1
757,0
758,1
759,2
760,3
761,0
762,2
763,2
764,2
765,1
766,1
767,0
768,1
769,0
770,2
771,1
772,1
773,0
774,0
775,2
776,0
777,2
778,2
779,2
780,1
781,0
782,0
783,2
784,0
785,1
786,1
787,0
788,0
789,1
790,3
791,3
792,1
793,4
794,3
795,0
796,0
797,1
798,1
799,4
800,2
801,0
802,1
803,0
804,2
805,0
806,2
807,3
808,1
809,1
810,0
811,2
812,3
813,3
814,1
815,0
816,1
817,4
818,0
819,4
820,0
821,0
822,1
823,1
824,0
825,0
826,4
827,0
828,0
829,1
830,4
831,3
832,2
833,2
834,2
835,1
836,2
837,2
838,4
839,0
840,0
841,1
842,3
843,3
844,0
845,2
846,2
847,1
848,1
849,2
850,1
851,0
852,1
853,0
854,2
855,1
856,0
857,1
858,1
859,2
860,3
861,0
862,1
863,0
864,0
865,0
866,1
867,0
868,2
869,0
870,1
871,2
872,0
873,0
874,1
875,0
876,3
877,0
878,1
879,1
880,0
881,1
882,2
883,1
884,1
885,1
886,1
887,1
888,0
889,0
890,3
891,1
892,2
893,2
894,2
895,2
896,1
897,0
898,1
899,2
900,0
901,0
902,1
903,2
904,0
905,2
906,3
907,2
908,0
909,2
910,0
911,0
912,2
913,0
914,0
915,0
916,1
917,0
918,3
919,0
920,1
921,3
922,1
923,1
924,0
925,0
926,3
927,1
928,1
929,1
930,0
931,2
932,1
933,1
934,0
935,0
936,3
937,0
938,1
939,0
940,3
941,1
942,0
943,1
944,3
945,1
946,0
947,4
948,0
949,3
950,2
951,0
952,0
953,1
954,1
955,0
956,1
957,3
958,1
959,0
960,1
961,1
962,1
963,2
964,1
965,0
966,0
967,1
968,2
969,0
970,1
971,1
972,3
973,2
974,0
975,3
976,0
977,2
978,1
979,1
980,1
981,2
982,1
983,0
984,1
985,0
986,0
987,0
988,2
989,2
990,4
991,1
992,0
993,1
994,1
995,3
996,1
997,0
998,1
999,3
1000,2
1001,2
1002,2
1003,2
1004,0
1005,2
1006,2
1007,0
1008,1
1009,0
1010,0
1011,1
1012,2
1013,1
1014,1
1015,1
1016,0
1017,1
1018,1
1019,1
1020,1
1021,1
1022,1
1023,0
1024,0
1025,2
1026,1
1027,0
1028,2
1029,2
1030,2
1031,2
1032,1
1033,1
1034,0
1035,2
1036,1
1037,0
1038,2
1039,2
1040,2
1041,2
1042,0
1043,1
1044,2
1045,0
1046,1
1047,0
1048,0
1049,1
1050,1
1051,4
1052,2
1053,1
1054,2
1055,0
1056,0
1057,1
1058,3
1059,0
1060,2
