,Khoảng giá
0,5.8
1,8.5
2,9.4
3,14.5
4,4.8
5,7.2
6,7.45
7,4.5
8,12.1
9,11.2
10,4.95
11,5.6
12,6.95
13,39.0
14,4.8
15,4.3
16,7.35
17,7.95
18,6.65
19,12.9
20,5.1
21,8.8
22,38.0
23,29.5
24,12.3
25,22.98
26,5.88
27,9.29
28,11.0
29,23.8
30,8.36
31,6.4
32,4.86
33,6.89
34,56.0
35,4.79
36,9.3
37,7.5
38,3.3
39,42.0
40,8.6
41,2.2
42,17.5
43,9.4
44,115.0
45,8.66
46,12.8
47,21.5
48,6.9
49,6.7
50,7.5
51,120.0
52,93.0
53,6.39
54,14.5
55,11.2
56,8.8
57,35.9
58,3.99
59,6.98
60,7.85
61,4.65
62,7.3
63,6.8
64,35.0
65,10.0
66,5.8
67,13.5
68,10.6
69,7.6
70,8.65
71,17.5
72,21.0
73,6.45
74,6.79
75,69.0
76,9.5
77,8.5
78,106.0
79,9.8
80,5.85
81,18.0
82,31.0
83,9.5
84,11.2
85,21.0
86,8.7
87,4.7
88,12.8
89,12.7
90,15.8
91,26.9
92,6.6
93,8.9
94,16.0
95,62.0
96,54.0
97,9.8
98,7.89
99,11.0
100,5.4
101,4.68
102,21.0
103,5.49
104,9.99
105,13.0
106,3.95
107,7.88
108,8.5
109,8.9
110,54.0
111,2.8
112,28.0
113,42.5
114,15.9
115,80.0
116,12.9
117,3.15
118,6.4
119,13.3
120,18.5
121,8.9
122,7.5
123,26.0
124,12.4
125,8.1
126,4.2
127,4.68
128,53.0
129,6.8
130,6.25
131,11.5
132,27.0
133,8.85
134,4.7
135,65.0
136,6.58
137,7.2
138,17.5
139,31.5
140,4.75
141,19.9
142,29.0
143,36.8
144,10.7
145,6.96
146,38.0
147,18.0
148,6.8
149,13.0
150,16.5
151,5.7
152,11.9
153,7.0
154,6.9
155,5.65
156,24.8
157,7.65
158,9.45
159,2.25
160,4.75
161,16.0
162,23.0
163,6.8
164,3.5
165,6.9
166,8.5
167,13.7
168,8.3
169,9.8
170,7.0
171,22.5
172,18.0
173,18.9
174,9.99
175,7.6
176,4.38
177,35.0
178,7.2
179,8.35
180,9.5
181,3.98
182,13.3
183,7.25
184,9.3
185,8.0
186,6.99
187,6.5
188,10.0
189,6.2
190,4.3
191,9.5
192,6.2
193,23.8
194,7.49
195,14.2
196,20.7
197,6.25
198,5.2
199,6.79
200,12.99
201,8.5
202,58.056
203,5.3
204,23.5
205,7.6
206,45.0
207,7.6
208,15.5
209,10.4
210,10.8
211,17.5
212,7.79
213,9.4
214,18.5
215,25.0
216,4.45
217,9.5
218,6.99
219,46.0
220,4.75
221,6.4
222,6.55
223,8.9
224,7.2
225,8.65
226,6.8
227,9.8
228,8.9
229,49.0
230,22.0
231,4.5
232,6.3
233,9.5
234,25.0
235,11.5
236,10.0
237,16.5
238,16.0
239,9.8
240,32.0
241,18.5
242,7.4
243,23.0
244,7.29
245,160.0
246,6.99
247,5.6
248,8.8
249,16.9
250,9.0
251,11.5
252,5.95
253,8.5
254,22.0
255,5.39
256,25.0
257,26.5
258,13.0
259,19.2
260,8.55
261,22.5
262,6.3
263,15.5
264,30.0
265,11.2
266,55.0
267,10.0
268,18.0
269,4.7
270,2.65
271,12.7
272,29.8
273,9.8
274,68.6
275,8.0
276,8.1
277,13.5
278,6.89
279,8.0
280,8.9
281,10.0
282,22.0
283,5.9
284,7.45
285,9.95
286,9.6
287,2.85
288,18.5
289,4.95
290,7.35
291,34.0
292,24.8
293,6.85
294,5.39
295,8.3
296,17.9
297,7.35
